-headless; required:; optional:
-hideUI; required:; optional:
-showUI; required:; optional:
-newScene; required:; optional:
-load; required:project_file; optional:choice
-save; required:; optional:project_file
-start; required:; optional:
-unlockPPIProject; required:project_file; optional:
-add; required:imageName; optional:
-addFolder; required:dirpath; optional:
-importVideo; required:filepath,dirpath,jumpsLength; optional:
-importLeicaBlk3D; required:filepath; optional:
-importLaserScan; required:laserscanName; optional:xml_file
-importLaserScanFolder; required:dirpath; optional:xml_file
-importHDRimages; required:list_file; optional:xml_file
-addImageWithCalibration; required:filepath,filepath; optional:
-importImageSelection; required:filepath; optional:
-selectImage; required:filepath; optional:set,union,sub,intersect,toggle
-selectAllImages; required:; optional:
-deselectAllImages; required:; optional:
-invertImageSelection; required:; optional:
-removeCalibrationGroups; required:; optional:
-generateAIMasks; required:; optional:
-exportMasks; required:dirpath,xml_file; optional:
-setImageLayer; required:index,pathImage,layerType; optional:
-setImagesLayer; required:pathImage,layerType; optional:
-removeImageLayer; required:layerType; optional:
-importCache; required:dirpath; optional:
-clearCache; required:; optional:
-execRSCMD; required:command_file; optional:
-quit; required:; optional:
-setFeatureSource; required:choice; optional:
-enableAlignment; required:boolean; optional:
-enableMeshing; required:boolean; optional:
-enableTexturingAndColoring; required:boolean; optional:
-setWeightInTexturing; required:0,1; optional:
-enableColorNormalizationReference; required:boolean; optional:
-enableColorNormalization; required:boolean; optional:
-setDownscaleForDepthMaps; required:integer; optional:
-enableInComponent; required:boolean; optional:
-setCalibrationGroupByExif; required:; optional:
-setConstantCalibrationGroups; required:; optional:
-lockPoseForContinue; required:boolean; optional:
-setPriorCalibrationGroup; required:number; optional:
-setPriorLensGroup; required:number; optional:
-editInputSelection; required:key_value; optional:
-setInstanceName; required:instanceName; optional:
-delegateTo; required:choice; optional:
-waitCompleted; required:choice; optional:
-getStatus; required:choice; optional:
-pauseInstance; required:choice; optional:
-unpauseInstance; required:choice; optional:
-abortInstance; required:choice; optional:
-execRSCMDIndirect; required:choice,command_file; optional:
-align; required:; optional:
-draft; required:; optional:
-update; required:; optional:
-detectFeatures; required:; optional:
-mergeComponents; required:; optional:
-exportXMP; required:; optional:xml_file
-exportXMPForSelectedComponent; required:; optional:
-importComponent; required:filepath; optional:
-loadBundler; required:filepath; optional:xml_file
-loadColmap; required:filepath; optional:xml_file
-exportLatestComponents; required:dirpath; optional:
-setMinComponentSize; required:size; optional:
-exportSelectedComponentDir; required:dirpath; optional:
-exportSelectedComponentFile; required:filepath; optional:
-exportRegistration; required:filepath; optional:xml_file
-exportUndistortedImages; required:dirpath; optional:xml_file
-exportSTMap; required:; optional:dirpath,xml_file
-exportSparsePointCloud; required:filepath; optional:xml_file
-selectComponent; required:componentName; optional:
-selectMaximalComponent; required:; optional:
-selectComponentWithLeastReprojectionError; required:; optional:
-renameSelectedComponent; required:newComponentName; optional:
-deleteSelectedComponent; required:; optional:
-deleteComponent; required:index; optional:
-deleteAllComponents; required:; optional:
-importTrajectory; required:filepath; optional:xml_file
-importGroundControlPoints; required:filepath; optional:xml_file
-importControlPointsMeasurements; required:filepath; optional:xml_file
-editControlPointSelection; required:key_value; optional:
-listControlPoints; required:filepath; optional:
-selectControlPoint; required:controlPointName; optional:
-invertControlPointSelection; required:; optional:
-renameControlPoint; required:controlPointName,newName; optional:
-renameSelectedControlPoint; required:newName; optional:
-deleteControlPoint; required:; optional:index
-selectMeasurementByError; required:errorValue; optional:controlPointName
-selectMeasurementByIndex; required:controlPointName,index; optional:
-deleteControlPointMeasurement; required:; optional:
-exportGroundControlPoints; required:filepath; optional:xml_file
-exportControlPointsMeasurements; required:filepath; optional:xml_file
-defineDistance; required:PointNameA,PointNameB,distance; optional:constraintName
-editConstraintSelection; required:key_value; optional:
-deleteConstraint; required:; optional:index
-detectMarkers; required:; optional:xml_file
-setCamerasGravityDirection; required:; optional:componentID
-resetGround; required:; optional:
-setGroundPlaneFromReconstructionRegion; required:; optional:
-setReconstructionRegionAuto; required:; optional:
-setReconstructionRegion; required:box.rsbox; optional:
-setReconstructionRegionOnCPs; required:controlPoint,choice; optional:
-setReconstructionRegionByDensity; required:; optional:
-scaleReconstructionRegion; required:scaleX,scaleY,scaleZ; optional:choice,choice
-moveReconstructionRegion; required:moveX,moveY,moveZ; optional:
-rotateReconstructionRegion; required:rotateX,rotateY,rotateZ; optional:
-offsetReconstructionRegion; required:offsetX,offsetY,offsetZ; optional:
-exportReconstructionRegion; required:box.rsbox; optional:
-calculatePreviewModel; required:; optional:
-calculateNormalModel; required:; optional:
-calculateHighModel; required:; optional:
-continueModelCalculation; required:; optional:
-selectModel; required:filepath; optional:
-deleteSelectedModel; required:; optional:
-duplicateSelectedModel; required:; optional:
-renameSelectedModel; required:filepath; optional:
-correctColors; required:; optional:filepath
-unwrap; required:; optional:xml_file
-calculateTexture; required:; optional:xml_file
-calculateQualityTexture; required:; optional:
-reprojectTexture; required:sourceModel,resultModel; optional:xml_file
-calculateVertexColors; required:; optional:
-calculatePreviewVertexColors; required:; optional:
